"brand_name","generic_name","years_with_data","mean_beneficiaries","latest_beneficiaries","mean_dosage_unit","latest_dosage_unit"
"Colchicine","Colchicine",9,379615,553640,35891709.3,56700066.696
"Loperamide","Loperamide HCl",12,285118.7,389634,40202353.8,56493372.142
"Methimazole","Methimazole",12,143361.5,202878,38851212.5,56314396.185
"Bupropion HCl","Bupropion HCl",12,156778.2,169659,48326993,56206427.21
"Lithium Carbonate","Lithium Carbonate",12,122644.2,103265,67806163.1,55907751.75
"Clindamycin HCl","Clindamycin HCl",12,1583647,1633351,57409023.9,55796591.55
"Ipratropium-Albuterol","Ipratropium/Albuterol Sulfate",12,230552.5,182448,88193203.5,55704401.43
"Methenamine Hippurate","Methenamine Hippurate",12,84254.6,161162,27527286.8,55254255.614
"Colesevelam HCl","Colesevelam HCl",6,59191.8,66749,45780485,53440766.4
"Letrozole","Letrozole",12,137871.4,198661,34998181.6,53136859.406
"Amantadine","Amantadine HCl",12,91153.1,98048,42918907.7,51662947.041
"Symbicort","Budesonide/Formoterol Fumarate",12,918607,984400,47265685,51355547.042
"Latanoprost","Latanoprost",12,1720769,2403493,34165685.7,51092739.069
"Phenobarbital","Phenobarbital",12,61420.1,52777,59035374.2,49957947.381
"Haloperidol","Haloperidol",12,166291.8,136327,54075788.1,49652150.751
"Bisoprolol-Hydrochlorothiazide","Bisoprolol/Hydrochlorothiazide",10,163989.8,145398,51581440.5,49129993.9
"Doxycycline Monohydrate","Doxycycline Monohydrate",12,742408.5,1315899,28849739.5,48771709.071
"Morphine Sulfate*","Morphine Sulfate",10,241593,221130,64869969,48674314.943
"Raloxifene HCl","Raloxifene HCl",10,218728.8,169339,56163278.9,48626200.924
"Novolog Flexpen","Insulin Aspart",12,519878.9,588526,41610645.7,48302818.2
"Azathioprine","Azathioprine",12,83359.6,90745,39375877,46365228.754
"Nabumetone","Nabumetone",12,285655.5,222409,56245997.5,46174880
"Butalbital-Acetaminophen-Caffe","Butalb/Acetaminophen/Caffeine",12,166741.9,185132,37814482.6,45708625
"Silver Sulfadiazine","Silver Sulfadiazine",12,237169.2,251600,47310531.4,45602862.204
"Cyclosporine*","Cyclosporine",10,30913.9,188711,7482234.3,45429929.7
"Glipizide-Metformin","Glipizide/Metformin HCl",12,65790.9,60573,43330488.6,44690998
"Irbesartan-Hydrochlorothiazide","Irbesartan/Hydrochlorothiazide",12,104637,143244,28789188,44266675.5
"Spiriva Handihaler","Tiotropium Bromide",6,372234,236984,72378283.9,44146326
"Desvenlafaxine Succinate ER","Desvenlafaxine Succinate",7,117337.4,156744,30393657.1,43402668.444
"Ulticare Pen Needle","Pen Needle, Diabetic",12,84567.3,122167,28871297.9,43217237.333
"Methylphenidate HCl","Methylphenidate HCl",12,102351.2,108959,41083103.9,42882297.25
"Pyridostigmine Bromide","Pyridostigmine Bromide",12,44055.6,56300,34141637,42722065.833
"Hydroxyurea","Hydroxyurea",12,76754.3,102368,30507728.6,42036685.69
"Ziprasidone HCl","Ziprasidone HCl",12,107212.4,82972,47611075.4,40445527.807
"Fluocinonide","Fluocinonide",12,454481.8,379768,47885510.9,40344234.962
"Clotrimazole*","Clotrimazole",10,470196.9,538888,36083470.1,40131638.804
"Xiidra","Lifitegrast",8,83336.5,149642,20567648,39876358
"Insulin Syringe","Syringe And Needle,Insulin,1ml",12,266618.2,125222,94376601.8,39792273.843
"Comfort Ez Pen Needle","Pen Needle, Diabetic",10,61151.8,92044,27937099,39721671.575
"Suprep","Sodium, Potassium,Mag Sulfates",12,571293.9,108083,207407343.3,39266327
"Pentoxifylline","Pentoxifylline",12,96326.2,88717,41340285.3,38936102
"Diltiazem 24hr ER","Diltiazem HCl",12,231446.4,163220,51936815.7,38658178
"Fenofibrate","Fenofibrate,Micronized",12,167679.3,137024,43726451.1,38005437
"Mometasone Furoate*","Mometasone Furoate",10,437774.8,490025,30042444,37150601.027
"Dofetilide","Dofetilide",8,49985.4,65815,25182905.5,37048301.003
"Incruse Ellipta","Umeclidinium Bromide",9,205610.3,201618,35963235.5,36556605.1
"Progesterone","Progesterone, Micronized",12,75628.3,142649,15320860.4,36221200.857
"Betamethasone Dipropionate","Betamethasone Dipropionate",12,331075.9,407711,29933927.5,35823079.148
"Dorzolamide-Timolol","Dorzolamide HCl/Timolol Maleat",12,498520.7,710453,24055094.8,35787818.815
"Tolterodine Tartrate ER","Tolterodine Tartrate",10,179297,160195,36892564.4,35340255
"Sps*","Sodium Polystyrene Sulfon/Sorb",10,52488.9,59552,35754962.8,35251698.79
"Albuterol Sulfate*","Albuterol Sulfate",10,177513,122469,58334908.6,35060959.369
"Insulin Syringe","Syringe-Needle,Insulin,0.5 Ml",12,246333.7,91502,94430256.2,34567937.894
"Cefdinir","Cefdinir",12,989478.1,1621815,22342684.8,34430124.857
"Ssd","Silver Sulfadiazine",12,159580.1,153462,32968346,34331931.921
"Clindamycin Phosphate*","Clindamycin Phosphate",10,238136.9,303687,30682823,34087859.882
"Ibu","Ibuprofen",10,391464.3,154066,61311353.7,33889008
